,type,title,district,price,area,bedroom,bathroom,incense,link
0,Nhà riêng,Nhà bán Quận Gò Vấp - Hẻm an ninh - Xây dựng kiên cố - Nở hậu 3.31m,Q.Gò Vấp,"2,7 tỷ","29,3m²",2,2,T.Nam,https://propzy.vn/mua/nha-ban-quan-go-vap-hem-an-ninh-xay-dung-kien-co-no-hau-3-31m-id112529?src=location_xl_listing
1,Nhà riêng,Nhà mặt tiền quận Tân Bình đang cho thuê giá cao,Q.Tân Bình,28 tỷ,"140,8m²",3,3,Đông,https://propzy.vn/mua/nha-mat-tien-quan-tan-binh-dang-cho-thue-gia-cao-id111980?src=location_xl_listing
2,Nhà riêng,Bán Nhà Mặt Tiền Quận 11 - Gần Công Viên Đầm Sen - Thuận Tiện Kinh Doanh,Q.11,40 tỷ,"77,3m²",4,3,T.Nam,https://propzy.vn/mua/ban-nha-mat-tien-quan-11-gan-cong-vien-dam-sen-thuan-tien-kinh-doanh-id111812?src=location_xl_listing
3,Nhà riêng,Bán nhà riêng trung tâm quận 5 gần công viên Văn Lang liền kề khu dân cư đông đúc,Q.5,"5,5 tỷ","36,0m²",5,1,T.Bắc,https://propzy.vn/mua/ban-nha-rieng-trung-tam-quan-5-gan-cong-vien-van-lang-lien-ke-khu-dan-cu-dong-duc-id111641?src=location_xl_listing
4,Nhà riêng,"Chính chủ bán gấp nhà 1 trệt 1 lầu, hẻm xe hơi phường Hiệp Bình Phước, Quận Thủ Đức",Q.Thủ Đức,"4,1 tỷ","56,4m²",2,2,Đ.Bắc,https://propzy.vn/mua/chinh-chu-ban-gap-nha-1-tret-1-lau-hem-xe-hoi-phuong-hiep-binh-phuoc-quan-thu-duc-id110543?src=location_xl_listing
5,Nhà riêng,Bán nhà Quận Gò Vấp - Sổ hồng riêng chính chủ - Khu dân cư hiện hữu,Q.Gò Vấp,"2,3 tỷ","25,3m²",1,1,Đ.Nam,https://propzy.vn/mua/ban-nha-quan-go-vap-so-hong-rieng-chinh-chu-khu-dan-cu-hien-huu-id110501?src=location_xl_listing
6,Nhà riêng,Bán nhà Quận Gò Vấp thiết kế đơn giản - hẻm an ninh.,Q.Gò Vấp,"2,4 tỷ","26,2m²",1,1,Đ.Nam,https://propzy.vn/mua/ban-nha-quan-go-vap-thiet-ke-don-gian-hem-an-ninh-id110495?src=location_xl_listing
7,Nhà riêng,Bán nhà Quận Gò Vấp - Nhà xây kiên cố  - khu dân cư an ninh.,Q.Gò Vấp,"4,2 tỷ","46,9m²",3,3,T.Bắc,https://propzy.vn/mua/ban-nha-quan-go-vap-nha-xay-kien-co-khu-dan-cu-an-ninh-id110456?src=location_xl_listing
8,Nhà riêng,Nhà mặt tiền quận Tân Bình thích hợp kinh doanh,Q.Tân Bình,"27,5 tỷ","80,0m²",4,4,T.Nam,https://propzy.vn/mua/nha-mat-tien-quan-tan-binh-thich-hop-kinh-doanh-id110075?src=location_xl_listing
9,Nhà riêng,Nhà hẻm phường 7 Quận 8 - Sổ hồng riêng chính chủ,Q.8,"4,1 tỷ","53,3m²",3,1,Đ.Nam,https://propzy.vn/mua/nha-hem-phuong-7-quan-8-so-hong-rieng-chinh-chu-id109940?src=location_xl_listing
